CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Manganese,0.027,mg/L,2020-08-20,21SC60WQ_WQX-MD-269,South Carolina Department of Environmental Services,Final
Manganese,4.95,mg/L,2020-04-01,MONT_PPL_WQX-2001A,Montana PPL Corporation,Final
Manganese,0.0039,mg/L,2020-08-11,UTEMTN-SJ-4C,Ute Mountain Utes Tribe (Colorado) (Tribal),Final
Manganese,1.1,mg/L,2020-06-05,MDEQ_WQ_WQX-Y17AREFC60,Montana DEQ WQPB,Final
Manganese,0.000285,mg/L,2020-10-15,MIDNITE_2-MWFW-02,Midnite Mine Environmental Data,Final
Manganese,0.81,mg/L,2020-08-24,21NDHDWQ_WQX-386023,North Dakota Department Of Environmental Quality,Final
Manganese,0.00137,mg/L,2020-06-09,EVR-RG_BORDER,EVR Operations Limited,Final
Manganese,0.037,mg/L,2020-06-23,21SC60WQ_WQX-S-222,South Carolina Department of Environmental Services,Final
Manganese,1.54,mg/L,2020-07-24,42SRBCWQ_WQX-UNNT003.9-4078,Susquehanna River Basin Commission,Final
Manganese,0.107,mg/L,2020-09-23,MDEQ_REM_WQX-SS-10A,Montana DEQ Remediation,Final
Manganese,0.00012,mg/L,2020-12-02,EVR-RG_BORDER_L1,EVR Operations Limited,Final
Manganese,0.123,mg/L,2020-11-18,MONT_PPL_WQX-991A,Montana PPL Corporation,Final
Manganese,0.128,mg/L,2020-04-08,MONT_PPL_WQX-2031D,Montana PPL Corporation,Final
Manganese,0.537,mg/L,2020-12-08,ARDEQH2O_WQX-OUA0239,Arkansas Department of Environmental Quality,Final
Manganese,0.011,mg/L,2020-06-24,21AWIC-2835,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.303,mg/L,2020-02-25,MONT_PPL_WQX-1179D-CCR,Montana PPL Corporation,Final
Manganese,0.0391,mg/L,2020-07-07,ARDEQH2O_WQX-UWTNO01,Arkansas Department of Environmental Quality,Final
Manganese,0.027,mg/L,2020-05-28,21FLTBW_WQX-TBW005,Tampa Bay Water,Final
Manganese,0.379,mg/L,2020-09-30,MONT_PPL_WQX-1308M-IW,Montana PPL Corporation,Final
Manganese,0.028,mg/L,2020-10-06,MIDNITE_2-BC,Midnite Mine Environmental Data,Final
Manganese,0.00274,mg/L,2020-12-02,EVR-RG_BORDER,EVR Operations Limited,Final
Manganese,0.422,mg/L,2020-12-08,MONT_PPL_WQX-108A,Montana PPL Corporation,Final
Manganese,0.038,mg/L,2020-07-07,21SC60WQ_WQX-B-042,South Carolina Department of Environmental Services,Final
Manganese,0.0355,mg/L,2020-06-04,USACOEND-BAR10050,"U.S. Army Corps of Engineers, Nashville District",Final
Manganese,0.00021,mg/L,2020-08-05,EVR-RG_GRASMERE,EVR Operations Limited,Final
Manganese,0.016,mg/L,2020-05-06,MONT_PPL_WQX-1201D,Montana PPL Corporation,Final
Manganese,0.001,mg/L,2020-08-20,MTVOLWQM_WQX-ELKMM_EK30,Montana Volunteer Water Quality Monitoring,Final
Manganese,0.092,mg/L,2020-03-10,21SC60WQ_WQX-S-305,South Carolina Department of Environmental Services,Final
Manganese,0.81,mg/L,2020-11-09,MONT_PPL_WQX-1021A,Montana PPL Corporation,Final
Manganese,0.05,mg/L,2020-10-19,WVDEP_WQX-6624,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,0.00461,mg/L,2020-06-03,EVR-RG_DSELK_L2,EVR Operations Limited,Final
Manganese,0.048,mg/L,2020-04-02,21SC60WQ_WQX-B-042,South Carolina Department of Environmental Services,Final
Manganese,1.1,mg/L,2020-03-10,WVDEP_WQX-17235,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,0.0591,mg/L,2020-09-29,ARDEQH2O_WQX-BEL0001,Arkansas Department of Environmental Quality,Final
Manganese,0.008,mg/L,2020-03-04,MONT_PPL_WQX-588D,Montana PPL Corporation,Final
Manganese,0.5,mg/L,2020-04-07,42SRBCWQ_WQX-HANS002.3-4076,Susquehanna River Basin Commission,Final
Manganese,0.55,mg/L,2020-03-18,MONT_PPL_WQX-182SP-CCR,Montana PPL Corporation,Final
Manganese,0.064,mg/L,2020-10-20,21AWIC-2850,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.00018,mg/L,2020-11-02,EVR-RG_USGOLD,EVR Operations Limited,Final
Manganese,0.089,mg/L,2020-10-20,21AWIC-2851,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.00038,mg/L,2020-12-01,EVR-RG_DSELK,EVR Operations Limited,Final
Manganese,0.0355,mg/L,2020-03-10,ARDEQH2O_WQX-OUA0013,Arkansas Department of Environmental Quality,Final
Manganese,0.0464,mg/L,2020-08-13,UTEMTN-SJ-4C,Ute Mountain Utes Tribe (Colorado) (Tribal),Final
Manganese,0.0203,mg/L,2020-04-01,EVR-RG_KERRRD,EVR Operations Limited,Final
Manganese,0.0931,mg/L,2020-03-18,SOUTHUTE-AR 19-3,Southern Ute Tribe,Final
Manganese,0.13,mg/L,2020-08-10,21NDHDWQ_WQX-380540,North Dakota Department Of Environmental Quality,Final
Manganese,0.013,mg/L,2020-07-08,21FLORAN_WQX-A29,Orange County Environmental (Florida),Final
Manganese,0.24,mg/L,2020-11-16,21SC60WQ_WQX-CW-017,South Carolina Department of Environmental Services,Final
Manganese,0.0136,mg/L,2020-05-06,EVR-RG_USGOLD,EVR Operations Limited,Final
Manganese,0.026,mg/L,2020-12-15,21SC60WQ_WQX-PD-281,South Carolina Department of Environmental Services,Final
Manganese,0.00614,mg/L,2020-04-20,EVR-RG_BORDER,EVR Operations Limited,Final
Manganese,0.002,mg/L,2020-09-23,MONT_PPL_WQX-39M,Montana PPL Corporation,Final
Manganese,0.124,mg/L,2020-10-13,ARDEQH2O_WQX-LARK042,Arkansas Department of Environmental Quality,Final
Manganese,0.248,mg/L,2020-11-09,MIDNITE_2-MWNE-02,Midnite Mine Environmental Data,Final
Manganese,0.06,mg/L,2020-02-27,MONT_PPL_WQX-604A,Montana PPL Corporation,Final
Manganese,1.26,mg/L,2020-08-25,ARDEQH2O_WQX-ARK0158,Arkansas Department of Environmental Quality,Final
Manganese,1.5,mg/L,2020-08-12,21NDHDWQ_WQX-386025,North Dakota Department Of Environmental Quality,Final
Manganese,0.0039,mg/L,2020-06-24,21FLORAN_WQX-LW20,Orange County Environmental (Florida),Final
